,year,conf_level,Intersection
671,2023,high,No intersection
672,2024,high,No intersection
673,2024,high,No intersection
674,2024,high,No intersection
675,2024,high,No intersection
676,2024,high,No intersection
677,2023,high,No intersection
678,2023,high,No intersection
679,2023,high,No intersection
680,2023,high,No intersection
681,2023,high,No intersection
682,2024,high,No intersection
683,2024,high,No intersection
684,2024,high,No intersection
685,2024,high,No intersection
686,2024,high,No intersection
687,2024,high,No intersection
688,2024,high,No intersection
689,2023,high,No intersection
690,2023,high,No intersection
691,2023,high,No intersection
692,2022,high,No intersection
693,2022,high,No intersection
694,2022,high,No intersection
695,2022,high,No intersection
696,2024,high,No intersection
697,2024,high,No intersection
698,2024,high,No intersection
699,2023,high,No intersection
700,2023,high,No intersection
701,2024,high,No intersection
702,2024,high,No intersection
703,2020,high,No intersection
704,2020,high,No intersection
705,2024,high,No intersection
706,2024,high,No intersection
707,2024,high,No intersection
708,2023,high,No intersection
709,2020,high,No intersection
710,2020,high,No intersection
711,2020,high,No intersection
712,2020,high,No intersection
713,2024,high,No intersection
714,2024,high,No intersection
715,2024,high,No intersection
716,2023,high,No intersection
717,2020,high,No intersection
718,2020,high,No intersection
719,2020,high,No intersection
720,2020,high,No intersection
721,2020,high,No intersection
722,2020,high,No intersection
723,2024,high,No intersection
724,2024,high,No intersection
725,2024,high,No intersection
726,2023,high,No intersection
727,2022,high,No intersection
728,2022,high,No intersection
729,2024,low,No intersection
730,2024,low,No intersection
731,2024,low,No intersection
732,2020,high,No intersection
733,2020,high,No intersection
734,2020,high,No intersection
735,2020,high,No intersection
736,2020,high,No intersection
737,2020,high,No intersection
738,2024,high,No intersection
739,2024,high,No intersection
740,2022,high,No intersection
741,2022,high,No intersection
742,2022,high,No intersection
743,2024,low,No intersection
744,2023,high,No intersection
745,2023,high,No intersection
746,2023,high,No intersection
747,2020,high,No intersection
748,2020,high,No intersection
749,2020,high,No intersection
750,2020,high,No intersection
751,2020,high,No intersection
752,2023,high,No intersection
753,2024,high,No intersection
754,2024,high,No intersection
755,2024,low,No intersection
756,2023,high,No intersection
757,2023,high,No intersection
758,2021,high,No intersection
759,2022,high,No intersection
760,2023,high,No intersection
761,2023,high,No intersection
762,2023,high,No intersection
763,2023,high,No intersection
764,2020,high,No intersection
765,2020,high,No intersection
766,2020,high,No intersection
767,2020,high,No intersection
768,2020,high,No intersection
769,2020,high,No intersection
770,2020,high,No intersection
771,2024,low,No intersection
772,2023,high,No intersection
773,2023,high,No intersection
774,2023,high,No intersection
775,2023,high,No intersection
776,2022,high,No intersection
777,2024,high,No intersection
778,2023,high,No intersection
779,2023,high,No intersection
780,2023,high,No intersection
781,2023,high,No intersection
782,2020,high,No intersection
783,2020,high,No intersection
784,2020,high,No intersection
785,2020,high,No intersection
786,2020,high,No intersection
787,2020,high,No intersection
788,2022,high,No intersection
789,2024,low,No intersection
790,2023,high,No intersection
791,2023,high,No intersection
792,2023,high,No intersection
793,2023,high,No intersection
794,2023,high,No intersection
795,2023,high,No intersection
796,2023,high,No intersection
797,2023,high,No intersection
798,2023,high,No intersection
799,2024,high,No intersection
800,2021,high,No intersection
801,2020,high,No intersection
802,2020,high,No intersection
803,2020,high,No intersection
804,2020,high,No intersection
805,2020,high,No intersection
806,2024,high,No intersection
807,2023,high,No intersection
808,2023,high,No intersection
809,2023,high,No intersection
810,2023,high,No intersection
811,2023,high,No intersection
812,2023,high,No intersection
813,2023,high,No intersection
814,2023,high,No intersection
815,2023,high,No intersection
816,2023,high,No intersection
817,2024,high,No intersection
818,2021,high,No intersection
819,2021,high,No intersection
820,2020,high,No intersection
821,2020,high,No intersection
822,2020,high,No intersection
823,2020,high,No intersection
824,2024,high,No intersection
825,2023,high,No intersection
826,2023,high,No intersection
827,2023,high,No intersection
828,2023,high,No intersection
829,2023,high,No intersection
830,2023,high,No intersection
831,2023,high,No intersection
832,2023,high,No intersection
833,2024,high,No intersection
834,2024,high,No intersection
835,2021,high,No intersection
836,2021,high,No intersection
837,2021,high,No intersection
838,2020,high,No intersection
839,2020,high,No intersection
840,2020,high,No intersection
841,2024,high,No intersection
842,2023,high,No intersection
843,2023,high,No intersection
844,2023,high,No intersection
845,2023,high,No intersection
846,2023,high,No intersection
847,2023,high,No intersection
848,2023,high,No intersection
849,2024,high,No intersection
850,2021,high,No intersection
851,2021,high,No intersection
852,2021,high,No intersection
853,2020,high,No intersection
854,2020,high,No intersection
855,2024,high,No intersection
856,2023,high,No intersection
857,2023,high,No intersection
858,2023,high,No intersection
859,2023,high,No intersection
860,2023,high,No intersection
861,2023,high,No intersection
862,2023,high,No intersection
863,2021,high,No intersection
864,2021,high,No intersection
865,2020,high,No intersection
866,2024,low,No intersection
867,2023,high,No intersection
868,2023,high,No intersection
869,2023,high,No intersection
870,2023,high,No intersection
871,2023,high,No intersection
872,2023,high,No intersection
873,2023,high,No intersection
